File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
00070891aea5767d858be0ff82253e6637e274cd5e7315dd9d8639e8465ed717.apk,15393,29746,7285,16185,8108,13561
000aa1f313ddc02b9e365d5dcca92841eac4f40cb88f595fad0a872d14711536.apk,22143,46625,8787,20723,13356,25902
001248a66e178bebdfbdca691b841832d4b2c04ef295a17fbe9b35f726d10a21.apk,44984,93725,18919,46532,26065,47193
00216736d5b7a5f18e87769195d69e95da8da267f06114755df2dcce9ed03981.apk,61206,126066,17821,44315,43385,81751
0034344c31f7b8812bc980d67ebd8dfec951d98d5786eb201f3ccfeca427cc54.apk,63668,123333,20659,47491,43009,75842
003a38e8033e9860d10f441490ef1a15c15fc58e5a3d9485e17d4705357676d3.apk,61764,138459,26292,68281,35472,70178
0093ebf83adc955dc53ee8e5d58592c0d568221dd4bf0a7bfa2af60d174a58bc.apk,55963,113435,24794,62810,31169,50625
00b2154d1a843117dd3441a5b869f58a9667f31761aec7558e88b93480741b36.apk,41827,78091,17543,39875,24284,38216
00be2e75ca91895675879a869c24547f3f71edc7bdd6cb873a7c8d421a9778a0.apk,34796,83470,16673,48198,18123,35272
00c3aae6b765da3ea08b4cd61edeb76ed9824573b7f65a1aaba6b69db422ac7f.apk,21456,43345,8742,23142,12714,20203
00eac9c75cdb38f0158589d233d22cc78f69f0648159c9e8880e52e855b4bd4f.apk,56737,114854,21275,52136,35462,62718
011022cf8052f1170b0c55a8e9bb45826e6ee1a39f88ff3284e6d10b8cbcb6a7.apk,57032,108265,18887,48173,38145,60092
01115bb5d043b775b1a9b90e4001035b6612c1030002c160219654738634a4b9.apk,84955,178621,29763,75879,55192,102742
0112ae505f5be62fa8f07ba6a2bfb0a47df65df5cbdf5428871c1766c235f44c.apk,18333,30867,5983,12832,12350,18035
0128802148124451721c607c94e58b6664e19fe0667589949c3ed87206a58392.apk,61608,127463,21736,55535,39872,71928
013d48228b51b063c2f5cc34afd695d87f6ba8741fcf5dbe8803a79e43adf15f.apk,36706,73618,16154,40239,20552,33379
016453284b77f5218663c65364329799ea23b2f1eb4251c1b5e69ff8c37367ca.apk,46551,108427,16571,48004,29980,60423
017c70f47d4270be4e933436bb52e74ed7afb033a97a526f32a6e8fd2aa5bed2.apk,65109,128935,19961,48334,45148,80601
018cb628b293e1e017d62795aaabb745189b9143127f7962339590d5a2c79673.apk,21914,38125,7690,17046,14224,21079
01ba83392dc6ff8867f9313b98843fabfdc1e1c9ff6a8ba15c824e0e3773c274.apk,57641,123491,21906,57959,35735,65532
01c02229d591af45ceec8928c8d0827b164b061b1b676a88fe2b4cb82b20bc7a.apk,51340,107048,19411,54408,31929,52640
01c8eefb6202a7afbe3b965a47d4812a9a2c88edaf39f2a4c9fedc3000e9c229.apk,22783,45544,9230,23236,13553,22308
01d905d8ac7dab38307fa12492ba26d0b715e4a540658ba0fed08c0570a68807.apk,8097,16140,4776,11422,3321,4718
0219abed1bf5fb2e22c3744c4e49a35fa1da5f2213a153fca1c554c8c3b288bc.apk,95464,194012,31859,81125,63605,112887
0230de75c8b59896c88f1c424a3f9010480ef15881dd39f4d7b232dd81979dd4.apk,15329,17968,3419,6115,11910,11853
0234adcfa485181cb848efdb3de4590c331220c256503888e42413ac2f98aa6b.apk,38678,75209,15401,36229,23277,38980
025a4c4f51e87dfc3ebf84b5a9c1987b44b98eeb8f0579606742f3116a04d2e0.apk,20411,40360,5456,16275,14955,24085
02829b99485744dc489b07b8c4edf3470f14d429fb38599fd1a6cb1f3695a048.apk,63077,131377,20085,55304,42992,76073
028625334d7b126dbfe56dff561fd8ed22f967bdab95602e4f4c5f71a5b53bdf.apk,27681,48213,10885,23765,16796,24448
02a4db1a4c041e4c72f6f08a82cb3bcdb726e742050c996418c07e78c8d68e24.apk,43758,86507,14398,31975,29360,54532
02acb09aa7db58d5317a16f6852be990192ea1bff66ae2b499cb284261c51479.apk,39715,83666,16340,40947,23375,42719
02ad6ff525facc4213e9964ae9a5f4e19816b59ae4be622d6f04953ec8536ec0.apk,55348,105596,14662,41195,40686,64401
02d437b4fa80a95940044b4196a0d4e666caa0d9d5eb9e60ea6c7615b5d0f7a2.apk,57881,112184,18758,49828,39123,62356
02da49f8da8b15a2b1a427a6187b781329c1156f1a01ab03f5b61b486b63ab2e.apk,41810,92668,18962,50702,22848,41966
02e62bf7af8e2f32196aadb22a9d8c3edc02768108055d796ae2725d4d3f2388.apk,32896,63088,15439,32521,17457,30567
02e644e388720fe5a2c5b04ef16baf7b3699b65280b45ea99d9a6e749253d39d.apk,21912,45462,9967,25317,11945,20145
0305f3b1b1f39fe397309e86f3ec5682335484bf31ad720f8037baf9c7567e05.apk,48632,93594,17830,42556,30802,51038
032a47238b7cedf00b848617ffe05f131f7c83b0005e7ae9530b9eaafeafd768.apk,9635,17829,1827,3534,7808,14295
0349ca08aebf9c352759981b07aff8e4866a8ee0b8931d5394ba38caefac55ff.apk,24202,46270,10791,24705,13411,21565
034c8a90930cea823d2c8648f343e94893a555feb7ab7c565a9d61c9900655ac.apk,11887,24726,6034,15303,5853,9423
03505a52fbb783a8f9d53108282865ec7151e26e182ce1bf964d0ff4a2b58a9b.apk,47950,92876,18553,44348,29397,48528
035f1183ae7e31bd7545d815d20dab8aa74ff6ed68d8de930ab7d869d3393f39.apk,46297,104636,21907,60462,24390,44174
0379578465228ea95406b775a10dbd077fb499554820d7bbdf2931c20f6a8768.apk,67099,135512,21836,51323,45263,84189
0380c2fc780f4a8b0a9febf23b86c0e1c5a0bbc3e4bcfe0717e6a15f726b9d23.apk,97957,210517,37778,97579,60179,112938
03929b2c7bc1cac90cc559ec4c689e968aa041d4e87387690400a441304537bd.apk,75211,159475,24506,67812,50705,91663
039e08a2d4806b5dc59e088f6208ebaef7604d84838c057543ed6241bc542d74.apk,33605,59912,12845,28254,20760,31658
03cab9fa509b66dc5452b8b6eecbb40793d16b2549cac51975444dbfae62cd39.apk,40699,97439,19699,59886,21000,37553
040c1bf5dc62e2262ce07ef33386f2e7bd577beae284b467704b781395aff572.apk,62004,137469,17650,56616,44354,80853
04461b4d48720a9f63164c9df945b3cbaae77e7bbb6c3c5f69fd54d6e9c866b8.apk,102828,214765,36545,92976,66283,121789
04672047ef3694b2ca0d3c483e8f402fd0de2f73148b4423619e778ca19e2c79.apk,54561,113552,22942,56078,31619,57474
0484cbb0907264a701422f902de923bf55bcbb8b4d57243ab5f5d56ebdef53d7.apk,12969,20069,3340,8612,9629,11457
049a6c25f6e13c897168d60ecdd8b71cb312950639fbb454dce4ea488c8c6ec2.apk,97167,197965,29916,78434,67251,119531
049fcf0903fb986d24e294f72a77cfbff0a748da48b313781c28ca404f16d850.apk,42541,92150,18427,46570,24114,45580
04a98f84dc3da87e9fac6c33f2707f26e099b372ed27816a7a8ed7989fbded6e.apk,54793,116640,22009,58690,32784,57950
04ad81d4455db213096126e8361a7f96f0de1ab1d6199ac8d42876004791d02d.apk,54216,107108,15855,43955,38361,63153
04b86cabea3f051ef198e6510cc5f1c3dce80d72e52e089f7e49414d4f208ed8.apk,59554,121768,24408,64102,35146,57666
04cbd693bf39bbc34d0a96f73910b24e8a7bdc35ab7dc23e5fbcc432f104092b.apk,18857,38728,7652,18385,11205,20343
04d22a0458234599493dbaa56472b5b4a59f97ac555f671640a8f70200618ee7.apk,40890,78501,15421,36880,25469,41621
04e812c0686b9a7ab63666e674cb2cdc903c02710e11fb54f50c35fe1f3c356d.apk,21703,42668,10626,24205,11077,18463
0518a70366db5786a5207037c416661f36f9058cff83ab88862b81ab291b3d95.apk,46428,108037,16501,47674,29927,60363
052f3361b0065b1db470d66d49d31251cd814d0434fce7c2e274eeb932b87fae.apk,62616,130734,23795,61724,38821,69010
054f900f938537be1f3042c2e8b8784bf7e5df4535b9cdba073e7aebb45007f6.apk,20063,37118,6124,16323,13939,20795
0551a5f592ec78d318389fc8177f93130a6ef1b5fd4d981254a5bf0dcdcee3bb.apk,35324,65003,13849,31258,21475,33745
055a339cb95ee869b266a93616d54d17fcd63979bf44ff379d5abe1639b8b8a8.apk,16616,27704,6080,14230,10536,13474
0560204a3cd9845adabcdec10dfbd870d4206fc8b972164a57b0b07ea3f2bcda.apk,47362,106278,21703,55245,25659,51033
0563ff99f825cd244c73555b96b6447cdaa2416f4e1de14e83c2aeb79821ce80.apk,22245,46313,11856,29248,10389,17065
05704fc60eb8c341d5e6749f4e17b70ab39006e3e86033a58ba3d1d900b36f76.apk,13209,26754,6101,15348,7108,11406
0577b202493b9e692dfb586a5adff8dbc32c9ae08bca08daaef733974d97e306.apk,61123,127763,20137,49693,40986,78070
058120bc9f391e930bbe7dfa188cc7e2b9bf3ca349a6583ad9438cd82faf7ff6.apk,13367,22217,6545,12869,6822,9348
058a90e081a8d22ef254b2feb2bae00f81b971e39a6ba6737d93ccebb6278f29.apk,28450,59868,13896,34169,14554,25699
05954c3b5b148aaf414a57e063417ed591ad08e593ed64cee2e58423982a38f5.apk,47824,87051,16521,39063,31303,47988
05a9736ec9a301bbb3265f1cc68431ea563d400f5984b3c22f6235312fe916dc.apk,18888,29413,8407,16609,10481,12804
05a9c96f3230f16f1ff81d5fe47c950253278f6e6b0a2f5babf8d8e1588f1cfb.apk,90117,189596,35587,90045,54530,99551
05b21894e5ae1d4c00143746fcaf3fd73e52e8dd5a0ac57ae692a8fa19acfc75.apk,20043,36894,6141,16327,13902,20567
05b8dd6c0cdaccc76f0dd6e2e538ce1632983bfcac88aaedb93745eb7ea1443b.apk,34135,64212,12516,28712,21619,35500
05ca062d1db108e138948f84fc9be33553827ebb20d188ef7955940dfb1f8496.apk,26283,57786,13512,34631,12771,23155
05efba9a5ef8f0e12448ae931c1f27e592d9ecf9cb789ff881ebc06bee6ed1bf.apk,30713,66498,11376,27888,19337,38610
05edd994c8b92545235849099b95a3bf72c314997c60d1a6ca6d30bd04a1edce.apk,19842,38213,9010,20720,10832,17493
06028bf5045a0c795723b296147196d238408dc0e34de2b089c3d61991caaabf.apk,42169,86849,13509,38524,28660,48325
07c3917afac3a74fe24c7264a85477efb03843b9f8f2bc1a3482ef8516dd024f.apk,85544,187046,35915,101056,49629,85990
07ceb7c6da08df6285f600b3573824675692b84f7a6fd3eb684523005c52ec42.apk,35618,76933,11097,27163,24521,49770
07f70ffca47cbd3b4c76b5bb20019d181e89bfd41e20a1fefdd3c3824b215601.apk,36094,80476,17234,44040,18860,36436
084ef9c4435de13b2a121f34bcfb673d78cf946e9943477919a300f880881bb5.apk,59139,118683,22167,54004,36972,64679
0949164ca781160434d4fcce4e91fa790480b16827392b6b6ebc4dbcce2ef961.apk,52423,99268,17127,44295,35296,54973
0a37f44ab538fce5885680975b2711e276d6dc0cb4f2b1f23b177ae79e5549a9.apk,9507,13690,3590,7095,5917,6595
0ab77daf4ad66ba71185a8f1b3fe9a8656a421ba45a0eaa98962b056325b9cd3.apk,42186,80673,14908,33943,27278,46730
0b304f55464dea92e6640e08ac6075c00fcd38129a2f76eb6f1e11919dec19bf.apk,20176,33579,7435,14687,12741,18892
0c6ff893d0d7642dad682bbbcbacffe354cf71b26845768413ca3ec122932e25.apk,20988,41805,11628,28187,9360,13618
