File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
3240f093f1718cc253c808a6bffe7c0141e8f0785716b977a46bf2ed4ed3d608.apk,4655,6403,279,518,4376,5885
11acb017813db485091ab8ee320161ab34a72168f51b166d93b085684598480a.apk,3779,8253,1093,3058,2686,5195
0e80d8288f42d8e6771ed2f5336e4d08cfaff73d7121f971bc7b20924a687243.apk,3170,3744,95,120,3075,3624
05f39b361d503f51f50ead20767c1255c042b34629350c2031c75a2b6ff2d23d.apk,3949,5173,84,99,3865,5074
385a51890cd15f869e251d4528bdde5dc9655434b8825f6a48b667c12a0d1f98.apk,15706,22128,436,649,15270,21479
2eea52e778f230fe1c5765c305f902fb2ce5ed7123b17ea676140827d0ea2b6c.apk,3671,4737,186,312,3485,4425
1f62ef5118c523dc7421165768cab080ec0ffd60dd21dcadbebdf7a5682a082f.apk,3759,4977,272,525,3487,4452
1a0c1551e9f9fb7bb0a2c51e40dd85d0b0b4a4cd6ab1e9df9d641286717b0d56.apk,2155,3916,153,248,2002,3668
49df32a46c54a0770c8ebd08e72c95ae1439765a3ce41939aa6ea9313589a9de.apk,15706,22128,436,649,15270,21479
226c2d55deeaf5e62fb3b2c6e1c60ee4ff5d3ce2f6f64511a79d961acd09b653.apk,6343,9593,514,1054,5829,8539
3ddcc6c2b900eefc049376ada007e5318d6d42bdff3ea5d38315598040cb6acd.apk,6314,9515,510,1027,5804,8488
4d469afebbdc21eae57ef4ca99a92dc1e5f146b30909ad9d9ba0a6630a06dbf9.apk,3267,7176,759,1797,2508,5379
0f27c07b7ea2237d994a0f670319b744ec37caaba7d18aa854b45f6c9a9cdc94.apk,3606,4719,264,465,3342,4254
4574e9fefd439a0edc83d48ad41051fdeaa57a60f51f86ef36030def2ec76233.apk,16088,23117,432,699,15656,22418
45c4b18a46376a123067106316a135c69a90d83601357be455373c50bd9db354.apk,10791,14069,446,724,10345,13345
1674f63d7951d6d65d93f48cbd9dc867ba8ff07838473efa6725743e0ac4443f.apk,396,683,175,236,221,447
0c2b139984e322d613fcea8aa03a733d4918afe3051b3b9becf46a87f2c95056.apk,6332,9556,497,1011,5835,8545
3124f13398ddb51ca1eb5211b59df7f45e3bb869fbf2bb021b5a2ad418e35724.apk,3721,4885,321,533,3400,4352
36f40d5a11d886a2280c57859cd5f22de2d78c87dcdb52ea601089745eeee494.apk,19459,29918,474,669,18985,29249
4fc73e45698bb7da2a5af998d3b737ae59e6c3c98bbc721d8b5de1d2a130b81f.apk,14242,37091,5435,17760,8807,19331
37fa2a59e67c788f6a62210de3232484f96e77eb3143bae25b1c2d49cab5643b.apk,8398,14049,338,579,8060,13470
4aeccf56981a32461ed3cad5e197a3eedb97a8dfb916affc67ce4b9e75b67d98.apk,3310,3962,129,164,3181,3798
41c66281c884ac22888ec80b053bcb72e400e826f5f0786ce3c3460f788a7a50.apk,3759,4978,272,525,3487,4453
26d689c58e4808163a1f7a4adaa6f5623934f7d114f5bb6a6c2c894f670ebbab.apk,3759,4978,272,525,3487,4453
0c43b8c7e2c4adda11902aefb5dbb7456a61164d3c05233dd7c425a8871dbdba.apk,4655,6403,279,518,4376,5885
435103f54fc65bc014d23c6a9ed21ce7e81e95dde5e892765087ab16a7dcd208.apk,3819,4998,272,525,3547,4473
2c2ff52993f006050995a3d04e6144c8462588e17f0e9ee7a9a584a70c427dcd.apk,15706,22128,436,649,15270,21479
134e4810f91b1fef736ddd39b5d48dd5166b4a6991ab545f277fc942b18b2b99.apk,15706,22128,436,649,15270,21479
19320260a255e86571dbe4016b24e98fe8330f1dfdbdf8ec1a2d79f761bf723f.apk,177,279,127,231,50,48
07f9a055fdf9e3e67bfe7a67952747c0020e3e4ffe461122d23b653d4fd52455.apk,68,69,68,69,0,0
43ec4f0911c2ccc941f37f765254b4f29e7b0c433104b963de8a43fa0617d855.apk,77,80,77,80,0,0
4392a8b0778fbe00a9b5c8e5453c717d5fcab5ed94d48268cea3878b63fa860b.apk,2316,6521,578,1532,1738,4989
2229539eb5362e2fe19b7ffbcf0e830f53889848f44674c7d8ae3ccd1ea91cee.apk,544,927,288,493,256,434
4e033ce7be68f64d2d41e551b58da75cf6869465fea1956045fe99409edad904.apk,4029,5408,85,107,3944,5301
