File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
5d063c9169fae4c9feb51e169e2d5aef.apk,12824,30538,4923,15546,7901,14992
5b4101d26b87f13278283a8ce07194cd.apk,60,73,60,73,0,0
6a5a1d7c6014cc18a9545900b32898db.apk,24281,55818,6367,21416,17914,34402
6dc3ddbbe6bf283b8fbbc830cf84ccbc.apk,60,73,60,73,0,0
5d6f344de65f547ff733d51b755169fc.apk,21755,41071,2935,7998,18820,33073
62d32e910724948817936b29907d6eab.apk,36091,65965,3779,8626,32312,57339
6fa417484adc9d6eeb9728b5dde050c7.apk,60,73,60,73,0,0
6cd481753bb4e94811e32389ac07572d.apk,24180,39012,2746,7256,21434,31756
6b6fc974a408b9c137fd4e0b3fb9b7f2.apk,60,73,60,73,0,0
6111f77789410e8f61815f43f54e5ff1.apk,45052,89259,5831,15874,39221,73385
6c6d19b6a5f0fac7d32ef3944ebe1f19.apk,60,73,60,73,0,0
60fb1f56b05458d0c3d097769bcee21f.apk,7567,11521,749,1379,6818,10142
5c573b44041dc7b878a325f3641a5f51.apk,82,70,82,70,0,0
6c022af923560aa6893d988e5fa840a6.apk,60,73,60,73,0,0
60ccab650e69c6d6270e44d35fb3f986.apk,8784,23509,4082,13701,4702,9808
604136ece5a054e17631f557fa8f8340.apk,12909,32584,3842,12903,9067,19681
5d632cfd45c52d59ea9154ab6ec9795f.apk,1322,1880,371,625,951,1255
5a3212132ecad39a2fc56e62fcf23dc8.apk,3565,5644,76,132,3489,5512
5f5674ce9698856cff644f91e533cbef.apk,60,73,60,73,0,0
658b5a764a6e8c4306744e43f0d6bdec.apk,36091,65965,3779,8626,32312,57339
6ecb5842c6d1cdc26f412d73c30a65f3.apk,60,73,60,73,0,0
5f739382c6aee5841248da3f88a59def.apk,677,648,677,648,0,0
6eb38bd7aa283bb8100d58eeb4ad2e85.apk,60,73,60,73,0,0
6fa75602ff532131103126d0a9197b3c.apk,60,73,60,73,0,0
5e2430218492d85b61a0c1febfd91081.apk,2267,8848,1325,6145,942,2703
67ad0a764d4766eb90e4f203cedcd006.apk,1414,2874,873,1964,541,910
61ea9edf3c2e897536ed4c905af5d45b.apk,5076,8168,123,200,4953,7968
5e67f9a596a6395038e6d137f3dc7b0f.apk,21755,41071,2935,7998,18820,33073
61c3f2e058e6a6680a78e9d89dd4906c.apk,8241,18603,2369,5948,5872,12655
6d0ef633b9d4bf4ac5a4a645a2fa6061.apk,19490,42849,4660,15269,14830,27580
6d19325c7883b8b263c5fe4e92c8bbf2.apk,14444,20115,257,389,14187,19726
64c30c5c4aa0dcf2ac45e53be0ce3f2e.apk,60,73,60,73,0,0
5be95e7893fa88dea2e6941c317da3b2.apk,60,73,60,73,0,0
6cdd22365947e89d8f76ec204eb2a141.apk,60,73,60,73,0,0
6b12a03734346a482b5fe7a4d4aa0a6e.apk,7567,11521,749,1379,6818,10142
5e035697588b9e1d32476817c04fd0ef.apk,12016,22617,2185,4454,9831,18163
6515c851ac8a87b66e079229786c7f00.apk,60,73,60,73,0,0
68d5885607e19a250c7029f5afa1326e.apk,3945,8655,1564,4145,2381,4510
5c40c1ec7da975e3928eaa0b51c800d4.apk,60,73,60,73,0,0
60b0c037c29330b6afe642952b8e9d8d.apk,24430,49719,3822,11014,20608,38705
6d13833a522ea8e5ef72e8843e28a4fe.apk,60,73,60,73,0,0
5ef95745bcecf10c8b020d96637bdf9a.apk,60,73,60,73,0,0
6a7879f7ab3a03595a9bed4db10b2761.apk,60,73,60,73,0,0
635d3588042f5bcc796e1022ef7be3fd.apk,24430,49719,3822,11014,20608,38705
5d953bd4746da9a00c0f5a511a9f2f64.apk,60,73,60,73,0,0
6a5dfd9ec54cc0682f35f0c813908455.apk,3939,8650,1564,4145,2375,4505
661a21a2ec4df5d15b0a80ed00357c87.apk,7218,13636,1107,2225,6111,11411
6eb8a3090a0c74261d4b00423bf9275e.apk,3555,6487,74,98,3481,6389
60e494bf902bbda840f6847fba493d00.apk,3701,5977,83,144,3618,5833
5fe0cb1f445b272c9368e3d35967b2f9.apk,7939,22939,4184,14771,3755,8168
5d8537599641b7d7ce6401634ab80bdb.apk,60,73,60,73,0,0
6c5ed7b28665796366cdcc67b6252f9c.apk,60,73,60,73,0,0
5af1381ec55de82b39c03ad782ec39fc.apk,48692,103220,4195,10617,44497,92603
5a9f8a2841f1628b823def3652627100.apk,761,1415,428,890,333,525
5ac6eaf749070b8bd9e7c5bd3c259dca.apk,7083,13096,674,1350,6409,11746
6a56a1e76cdfaf8ec016be8537b0a20a.apk,343,548,200,302,143,246
61e4e6879af8a302227e2d7ec6113281.apk,60,73,60,73,0,0
663c5985cd209a8974611e63a81a61ca.apk,3500,6488,93,129,3407,6359
69d092708701bacba0f71f3fb4e54c8f.apk,17506,33006,2671,7158,14835,25848
63c20df04dd4ad661cc0ed3caf97df1f.apk,60,73,60,73,0,0
5de818b6b3f9d3548b905084e255c71b.apk,60,73,60,73,0,0
6c8c8d5c518630f3f5130ec6ef3c7c08.apk,699,1040,38,36,661,1004
5f1827b54af3f2af0e1ff87ff6ef9d5e.apk,82,70,82,70,0,0
6f2769b5452e79d49f8191bbdf6a6e24.apk,60,73,60,73,0,0
5e1a3f98d15fc4ee95a50813461631b9.apk,11927,19983,1926,4661,10001,15322
6ea11fb90aeaa9e51d155315ae562b33.apk,60,73,60,73,0,0
60140d2840d2a65896fda6e0ea89753d.apk,14989,33039,2760,7687,12229,25352
5f8b07e03562642d484b9491c0b0cf94.apk,60,73,60,73,0,0
5a67d05d77ebb0b7c80bc40f1510f523.apk,12,7,12,7,0,0
